name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,icon
Kepler-556 b,2201.0,14.316,Neptune-like,2016,5.65,Earth,0.2,Jupiter,0.0973,0.032032855,0.0,Transit,np
Kepler-557 b,6841.0,14.723,Neptune-like,2016,7.61,Earth,0.238,Jupiter,0.0469,0.010130048,0.0,Transit,np
Kepler-558 b,2159.0,14.899,Neptune-like,2016,6.21,Earth,0.211,Jupiter,0.1759,0.07939767,0.0,Transit,np
Kepler-559 b,2534.0,14.863,Neptune-like,2016,12.7,Earth,0.322,Jupiter,0.1277,0.048186176,0.0,Transit,np
Kepler-55 f,1888.0,15.746,Super Earth,2014,3.15,Earth,1.59,Earth,0.081,0.027926078,0.0,Transit,sat
Kepler-561 c,2027.0,14.427,Neptune-like,2016,7.65,Earth,0.239,Jupiter,0.0593,0.014784395,0.0,Transit,np
Kepler-562 b,3238.0,14.908,Neptune-like,2016,23.7,Earth,0.465,Jupiter,0.1333,0.049281314,0.0,Transit,np
Kepler-563 b,1844.0,14.901,Neptune-like,2016,9.75,Earth,0.276,Jupiter,0.1418,0.06078029,0.0,Transit,np
Kepler-564 b,2815.0,14.883,Neptune-like,2016,19.4,Earth,0.413,Jupiter,0.0484,0.010403832,0.0,Transit,np
Kepler-565 b,3396.0,15.231,Neptune-like,2016,12.9,Earth,0.325,Jupiter,0.0501,0.011498973,0.0,Transit,np
Kepler-566 b,1841.0,15.217,Neptune-like,2016,5.27,Earth,2.15,Earth,0.1247,0.050376453,0.0,Transit,np
Kepler-567 b,1823.0,14.827,Neptune-like,2016,5.69,Earth,0.201,Jupiter,0.1229,0.04517454,0.0,Transit,np
Kepler-568 b,426.0,15.216,Neptune-like,2016,5.73,Earth,0.202,Jupiter,0.0794,0.030116359,0.0,Transit,np
Kepler-569 b,2082.0,14.244,Neptune-like,2016,10.1,Earth,0.282,Jupiter,0.1981,0.0936345,0.0,Transit,np
Kepler-56 d,2978.0,12.598,Gas Giant,2016,5.61,Jupiter,1.14,Jupiter,2.16,2.7,0.2,Radial Velocity,jupi
Kepler-570 b,1853.0,14.451,Neptune-like,2016,6.57,Earth,0.219,Jupiter,0.0497,0.011772759,0.0,Transit,np
Kepler-571 b,2361.0,14.951,Neptune-like,2016,7.46,Earth,0.236,Jupiter,0.0546,0.013141684,0.0,Transit,np
Kepler-575 b,2786.0,14.864,Neptune-like,2016,6.3,Earth,0.213,Jupiter,0.0788,0.025735795,0.0,Transit,np
Kepler-576 b,2014.0,14.627,Neptune-like,2016,10.7,Earth,0.292,Jupiter,0.179,0.081861734,0.0,Transit,np
